"Code département","Département","Code circonscription","Circonscription","Numéro de panneau","Libellé abrégé de liste","Libellé de la liste","Code nuance de liste","Nuance de liste","Tête de liste","Ordre","Sexe","Nom sur le bulletin de vote","Prénom sur le bulletin de vote","Nationalité","Code personnalité","CC"
"01","Ain","01001","L'Abergement-Clémenciat",1.0,"ENSEMBLE POUR L'ABERGEMENT CLEMENCIAT","ENSEMBLE POUR L'ABERGEMENT CLEMENCIAT","","","OUI",1.0,"F","EVALET TAPONAT","Line","Française","",""
"01","Ain","01002","L'Abergement-de-Varey",1.0,"ENSEMBLE POUR L'ABERGEMENT-DE-VAREY","ENSEMBLE POUR L'ABERGEMENT-DE-VAREY","","","OUI",1.0,"M","COUROUBLE","François","Française","",""
"01","Ain","01002","L'Abergement-de-Varey",2.0,"NOTRE COMMUNE, NOTRE ENGAGEMENT","NOTRE COMMUNE, NOTRE ENGAGEMENT","","","OUI",1.0,"M","ROBERT","Laurent","Française","",""
"01","Ain","01004","Ambérieu-en-Bugey",1.0,"AMBERIEU C'EST VOUS","AMBERIEU C'EST VOUS","LDVG","Liste divers gauche","OUI",1.0,"M","CHRISTIN","Rémi","Française","","OUI"
"01","Ain","01004","Ambérieu-en-Bugey",2.0,"LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS","LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS","LEXG","Liste d'extrême-gauche","OUI",1.0,"M","EL YOUSFI","Samir","Française","","OUI"
"01","Ain","01004","Ambérieu-en-Bugey",3.0,"TOUS AMBARROIS","TOUS AMBARROIS","LDVC","Liste divers centre","OUI",1.0,"M","FABRE","Daniel","Française","","OUI"
"01","Ain","01005","Ambérieux-en-Dombes",1.0,"UNIS PAR NOTRE VILLAGE, ENGAGES POUR TOUS","UNIS PAR NOTRE VILLAGE, ENGAGES POUR TOUS","","","OUI",1.0,"F","FORNES","Christine","Française","","OUI"
"01","Ain","01006","Ambléon",1.0,"TOUS ENSEMBLE POUR AMBLÉON","TOUS ENSEMBLE POUR AMBLÉON","","","OUI",1.0,"M","RAFFRON","Gael","Française","",""
"01","Ain","01006","Ambléon",2.0,"MIEUX VIVRE À AMBLEON","MIEUX VIVRE À AMBLEON","","","OUI",1.0,"M","ARCAN","Henri","Française","",""
"01","Ain","01007","Ambronay",1.0,"ENSEMBLE CONTINUONSPOUR AMBRONAY","ENSEMBLE CONTINUONSPOUR AMBRONAY","","","OUI",1.0,"M","MANCUSO","Vincent","Française","","OUI"
"01","Ain","01007","Ambronay",2.0,"NOTRE VILLAGE, NOTRE AMBITION","NOTRE VILLAGE, NOTRE AMBITION","","","OUI",1.0,"M","BELLATON","Marc","Française","","OUI"
"01","Ain","01008","Ambutrix",1.0,"AMBUTRIX L'ESPRIT VILLAGE","AMBUTRIX L'ESPRIT VILLAGE","","","OUI",1.0,"M","DELOFFRE","Dominique","Française","",""
"01","Ain","01008","Ambutrix",2.0,"BIEN VIVRE ENSEMBLE À AMBUTRIX","BIEN VIVRE ENSEMBLE À AMBUTRIX","","","OUI",1.0,"M","PACCALET","Patrick","Française","",""
"01","Ain","01009","Andert-et-Condon",1.0,"ENSEMBLE POUR NOTRE COMMUNE","ENSEMBLE POUR NOTRE COMMUNE","","","OUI",1.0,"F","MARTINAT","Francine","Française","",""
"01","Ain","01009","Andert-et-Condon",2.0,"CINQ HAMEAUX, UNE COMMUNE : ANDERT ET CONDON","CINQ HAMEAUX, UNE COMMUNE : ANDERT ET CONDON","","","OUI",1.0,"M","GUILLERMIN","Patrick","Française","",""
"01","Ain","01010","Anglefort",1.0,"ENSEMBLE ECRIVONS L'AVENIR D'ANGLEFORT","ENSEMBLE ECRIVONS L'AVENIR D'ANGLEFORT","","","OUI",1.0,"M","PLE","Henri","Française","","OUI"
"01","Ain","01010","Anglefort",2.0,"ANGLEFORT DEMAIN","ANGLEFORT DEMAIN","","","OUI",1.0,"M","THIERRY","Jean-François","Française","","OUI"
"01","Ain","01011","Apremont",1.0,"UNIS POUR NOTRE VILLAGE","UNIS POUR NOTRE VILLAGE","","","OUI",1.0,"F","LEVRAT","Marielle","Française","",""
"01","Ain","01012","Aranc",1.0,"AVENIR ET SERENITE","AVENIR ET SERENITE","","","OUI",1.0,"F","VARIGNIER","Nathalie","Française","",""
"01","Ain","01012","Aranc",2.0,"ENSEMBLE POUR L AVENIR DE LA COMMUNE D ARANC","ENSEMBLE POUR L AVENIR DE LA COMMUNE D ARANC","","","OUI",1.0,"F","PALLET","Monique","Française","",""
"01","Ain","01013","Arandas",1.0,"RESTONS VILLAGE POUR AVANCER","RESTONS VILLAGE POUR AVANCER","","","OUI",1.0,"M","MANOS","Lionel","Française","",""
"01","Ain","01014","Arbent",1.0,"POUR ARBENT, POURSUIVONS ENSEMBLE","POUR ARBENT, POURSUIVONS ENSEMBLE","LDVD","Liste divers droite","OUI",1.0,"M","CRACCHIOLO","Philippe","Française","","OUI"
"01","Ain","01015","Arboys en Bugey",1.0,"ARBOYS EN COMMUN","ARBOYS EN COMMUN","","","OUI",1.0,"M","BORDONNAT","Joël","Française","",""
"01","Ain","01015","Arboys en Bugey",2.0,"ARBOYS : NOTRE PROJET, VOTRE CHOIX","ARBOYS : NOTRE PROJET, VOTRE CHOIX","","","OUI",1.0,"M","RIERA","Michel Charles","Française","",""
"01","Ain","01016","Arbigny",1.0,"ARBIGNY, Notre Village","ARBIGNY, Notre Village","","","OUI",1.0,"F","GASSE","Nadine","Française","",""
"01","Ain","01016","Arbigny",2.0,"NOUVEL ELAN","NOUVEL ELAN","","","OUI",1.0,"M","GRAS","Daniel","Française","",""
"01","Ain","01017","Argis",1.0,"ARGIS,FIDÈLE À SES RACINES, TOURNÉ VERS L'AVENIR","ARGIS,FIDÈLE À SES RACINES, TOURNÉ VERS L'AVENIR","","","OUI",1.0,"M","BOU","Laurent","Française","",""
"01","Ain","01019","Armix",1.0,"TOUS ENSEMBLE POUR ARMIX","TOUS ENSEMBLE POUR ARMIX","","","OUI",1.0,"F","VUILLOUD","Véronique","Française","",""
"01","Ain","01021","Ars-sur-Formans",1.0,"VIVRE ARS","VIVRE ARS","","","OUI",1.0,"M","DELAMARE","Thierry","Française","","OUI"
"01","Ain","01022","Artemare",1.0,"ARTEMARE C'EST VOUS","ARTEMARE C'EST VOUS","","","OUI",1.0,"M","DESCHAMPS","Roland","Française","","OUI"
"01","Ain","01023","Asnières-sur-Saône",1.0,"ASNIERES DEMAIN","ASNIERES DEMAIN","","","OUI",1.0,"M","RIGAUD","Philippe","Française","",""
"01","Ain","01023","Asnières-sur-Saône",2.0,"ENSEMBLE POUR LA COMMUNE","ENSEMBLE POUR LA COMMUNE","","","OUI",1.0,"M","FONTIS","Michel","Française","",""
"01","Ain","01024","Attignat",1.0,"ATTIGNAT 2026 l'Avenir avec Vous","ATTIGNAT 2026 l'Avenir avec Vous","","","OUI",1.0,"M","MARTIN","Walter","Française","","OUI"
"01","Ain","01025","Bâgé-Dommartin",1.0,"RENOUVEAU POUR BAGE DOMMARTIN","RENOUVEAU POUR BAGE DOMMARTIN","LRN","Liste du Rassemblement National","OUI",1.0,"M","JOUANNE","Kevin","Française","","OUI"
"01","Ain","01025","Bâgé-Dommartin",2.0,"ENGAGÉS POUR DEMAIN","ENGAGÉS POUR DEMAIN","LDIV","Liste Divers","OUI",1.0,"M","BERNIGAUD","Christian","Française","","OUI"
"01","Ain","01026","Bâgé-le-Châtel",1.0,"construire ensemble l'avenir authentique et attractif de bâgé-le-Châtel","construire ensemble l'avenir authentique et attractif de bâgé-le-Châtel","","","OUI",1.0,"M","FRICOU","Eric Olivier","Française","",""
"01","Ain","01027","Balan",1.0,"Balan 2032 - Ensemble pour construire l'avenir","Balan 2032 - Ensemble pour construire l'avenir","","","OUI",1.0,"M","MEANT","Patrick","Française","","OUI"
"01","Ain","01028","Baneins",1.0,"Baneins, terroir en héritage, avenir en projet","Baneins, terroir en héritage, avenir en projet","","","OUI",1.0,"M","GRANGE","Jean-Pierre","Française","",""
"01","Ain","01029","Beaupont",1.0,"Ensemble pour BEAUPONT","Ensemble pour BEAUPONT","","","OUI",1.0,"M","JANODET","Gérard","Française","",""
"01","Ain","01030","Beauregard",1.0,"BEAUREGARD, plus proches pour aller plus loin","BEAUREGARD, plus proches pour aller plus loin","","","OUI",1.0,"M","BOUCHARD","Mickaël","Française","",""
"01","Ain","01031","Bellignat",1.0,"tous pour Bellignat","tous pour Bellignat","LDVG","Liste divers gauche","OUI",1.0,"M","HASSOUN","Kamel","Française","","OUI"
"01","Ain","01031","Bellignat",2.0,"Ensembles, Continuons pour Bellignat","Ensembles, Continuons pour Bellignat","LDVG","Liste divers gauche","OUI",1.0,"F","RAVET","Véronique","Française","","OUI"
"01","Ain","01032","Béligneux",1.0,"CONSTRUISONS DEMAIN ENSEMBLE","CONSTRUISONS DEMAIN ENSEMBLE","LDIV","Liste Divers","OUI",1.0,"M","FERRAND","Philippe","Française","","OUI"
"01","Ain","01033","Valserhône",1.0,"Vivons ensemble Valserhône","Vivons ensemble Valserhône","LDVG","Liste divers gauche","OUI",1.0,"M","LARMANJAT","Guy","Française","","OUI"
"01","Ain","01033","Valserhône",2.0,"Pour Vous, Avec Vous, Simplement Valserhône","Pour Vous, Avec Vous, Simplement Valserhône","LDVD","Liste divers droite","OUI",1.0,"F","DE OLIVEIRA","Isabelle","Française","","OUI"
"01","Ain","01034","Belley",1.0,"MIEUX VIVRE ENSEMBLE À BELLEY ET EN BUGEY SUD","MIEUX VIVRE ENSEMBLE À BELLEY ET EN BUGEY SUD","LDVG","Liste divers gauche","OUI",1.0,"M","MEYRAND","Bernard","Française","","OUI"
"01","Ain","01034","Belley",2.0,"ABBS","AGIR POUR BELLEY ET BUGEY-SUD","LDVD","Liste divers droite","OUI",1.0,"M","LAHUERTA","Dimitri","Française","","OUI"
"01","Ain","01035","Belleydoux",1.0,"Belleydoux 2026","Belleydoux 2026","","","OUI",1.0,"M","COURTOIS","Pascal","Française","",""
"01","Ain","01036","Valromey-sur-Séran",1.0,"BIEN VIVRE À VALROMEY SUR SÉRAN","BIEN VIVRE À VALROMEY SUR SÉRAN","","","OUI",1.0,"F","GODET","Pauline","Française","","OUI"
"01","Ain","01037","Bénonces",1.0,"BÉNONCES: UNE GESTION RESPONSABLE, UN VILLAGE VIVANT, UN AVENIR DURABLE","BÉNONCES: UNE GESTION RESPONSABLE, UN VILLAGE VIVANT, UN AVENIR DURABLE","","","OUI",1.0,"M","PELLEGRIN-ROMEGGIO","Frédéric","Française","",""
"01","Ain","01038","Bény",1.0,"REUNIR POUR BENY","REUNIR POUR BENY","","","OUI",1.0,"F","BERROD","Mélynda","Française","",""
"01","Ain","01040","Béréziat",1.0,"BEREZIAT, UNE EQUIPE","BEREZIAT, UNE EQUIPE","","","OUI",1.0,"M","BERARDAN","Franck","Française","",""
"01","Ain","01041","Bettant",1.0,"ENSEMBLE FAISONS VIVRE BETTANT","ENSEMBLE FAISONS VIVRE BETTANT","","","OUI",1.0,"M","MAITRE","Eric","Française","",""
"01","Ain","01042","Bey",1.0,"Bien Vivre Ensemble","Bien Vivre Ensemble","","","OUI",1.0,"M","METRAL","Olivier","Française","",""
"01","Ain","01043","Beynost",1.0,"Beynost Agir pour Demain","Beynost Agir pour Demain","LDVC","Liste divers centre","OUI",1.0,"F","LE GUYADER","Anne","Française","","OUI"
"01","Ain","01043","Beynost",2.0,"Pour Beynost continuons d'agir","Pour Beynost continuons d'agir","LDVD","Liste divers droite","OUI",1.0,"F","TERRIER","Caroline","Française","","OUI"
"01","Ain","01044","Billiat",1.0,"BILLIAT 2026","BILLIAT 2026","","","OUI",1.0,"M","BEAUQUIS","Jean Marc","Française","",""
"01","Ain","01045","Birieux",1.0,"ensemble, vivons Birieux","ensemble, vivons Birieux","","","OUI",1.0,"M","VIALLATTE","Nicolas","Française","",""
"01","Ain","01045","Birieux",2.0,"Fidèles à nos valeurs, ouverts à l'avenir","Fidèles à nos valeurs, ouverts à l'avenir","","","OUI",1.0,"M","BAILLET","Cyril","Française","",""
"01","Ain","01046","Biziat",1.0,"BIZIAT ENTRE TRADITION ET VITALITE","BIZIAT ENTRE TRADITION ET VITALITE","","","OUI",1.0,"M","AGATY","Guillaume","Française","",""
"01","Ain","01047","Blyes",1.0,"BLYES, UN AVENIR À MAÎTRISER","BLYES, UN AVENIR À MAÎTRISER","","","OUI",1.0,"M","MARTIN","Daniel","Française","","OUI"
"01","Ain","01049","La Boisse",1.0,"ENSEMBLE, PENSONS DEMAIN !","ENSEMBLE, PENSONS DEMAIN !","","","OUI",1.0,"M","SOILEUX","Laurent","Française","","OUI"
"01","Ain","01049","La Boisse",2.0,"AGIR POUR LES BUISSARDS","AGIR POUR LES BUISSARDS","","","OUI",1.0,"F","SABATIER REIS","Severine","Française","","OUI"
"01","Ain","01050","Boissey",1.0,"UNE LISTE COMMUNE POUR MA COMMUNE","UNE LISTE COMMUNE POUR MA COMMUNE","","","OUI",1.0,"F","GACHÉ","Mélanie","Française","",""
"01","Ain","01051","Bolozon",1.0,"A l'Unisson pour Bolozon","A l'Unisson pour Bolozon","","","OUI",1.0,"M","GIROD","Etienne","Française","",""
"01","Ain","01052","Bouligneux",1.0,"une équipe proche de vous, aujourd'hui et demain","une équipe proche de vous, aujourd'hui et demain","","","OUI",1.0,"M","COMTET","Laurent","Française","",""
