"CODGEO","Nb Pharmacies et parfumerie","Dynamique Entrepreneuriale","Dynamique Entrepreneuriale Service et Commerce","Synergie Médicale COMMUNE","Orientation Economique","Indice Fiscal Partiel","Score Fiscal","Indice Evasion Client","Score Evasion Client","Indice Synergie Médicale","Score Synergie Médicale","SEG Croissance POP","LIBGEO","REG","DEP","Nb Omnipraticiens BV","Nb Infirmiers Libéraux BV","Nb dentistes Libéraux BV","Nb pharmaciens Libéraux BV","Densité Médicale BV","Score équipement de santé BV","Indice Démographique","Score Démographique","Indice Ménages","Score Ménages","Population","Evolution Population","Evolution Pop %","Nb Ménages","Nb Résidences Principales","Nb propriétaire","Nb Logement","Nb Résidences Secondaires","Nb Log Vacants","Nb Occupants Résidence Principale","Nb Femme","Nb Homme","Nb Mineurs","Nb Majeurs","Nb Etudiants","Nb Entreprises Secteur Services","Nb Entreprises Secteur Commerce","Nb Entreprises Secteur Construction","Nb Entreprises Secteur Industrie","Nb Création Enteprises","Nb Création Industrielles","Nb Création Construction","Nb Création Commerces","Nb Création Services","Moyenne Revenus Fiscaux Départementaux","Moyenne Revenus Fiscaux Régionaux","Dep Moyenne Salaires Horaires","Dep Moyenne Salaires Cadre Horaires","Dep Moyenne Salaires Prof Intermédiaire Horaires","Dep Moyenne Salaires Employé Horaires","Dep Moyenne Salaires Ouvrié Horaires","Reg Moyenne Salaires Horaires","Reg Moyenne Salaires Cadre Horaires","Reg Moyenne Salaires Prof Intermédiaire Horaires","Reg Moyenne Salaires Employé Horaires","Reg Moyenne Salaires Ouvrié Horaires","Valeur ajoutée régionale","Urbanité Ruralité","Score Urbanité","Nb Atifs","Nb Actifs Salariés","Nb Actifs Non Salariés","Nb Logement Secondaire et Occasionnel","Nb Hotel","Capacité Hotel","Nb Camping","Capacité Camping","Dynamique Démographique BV","Taux étudiants","Taux Propriété","Dynamique Démographique INSEE","Capacité Fisc","Capacité Fiscale","Moyenne Revnus fiscaux","Taux Evasion Client","Nb Education, santé, action sociale","Nb Services personnels et domestiques","Nb Santé, action sociale","Nb Industries des biens intermédiaires","Nb de Commerce","Nb de Services aux particuliers","Nb institution de Education, santé, action sociale, administration","PIB Régionnal","SEG Environnement Démographique Obsolète","Score Croissance Population","Score Croissance Entrepreneuriale","Score VA Région","Score PIB","Environnement Démographique","Fidélité","SYN MEDICAL","Seg Cap Fiscale","Seg Dyn Entre","DYN SetC","CP"
"01001",0.0,57.0,23.0,114,"Bassin Industriel",101.93878,59.04139,0.0,0.0,114.56713,0.13481,"en croissance démographique","L' Abergement-Clémenciat","82","01",9,14,7,7,0.092859537,4,44.19769,0.0341,37.22029,0.02223,725,16,2,247,248,196,289,32,9,728,694,714,909,499,51,7.0,11.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,295.0,254.0,41.0,32.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,67,-1,117,117,11483.5,0,3.0,1.0,0.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",72.13115,0.01585,32.42578,33.83811,"Bassin Industriel en croissance démographique","Pop Sédentaire","Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01002",0.0,45.0,4.0,143,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,143.71141,0.17351,"en croissance démographique","L' Abergement-de-Varey","82","01",31,36,18,18,0.099228964,4,10.18071,0.00786,10.09619,0.00603,167,4,2,67,67,61,142,71,4,168,162,164,202,124,5,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,57.0,49.0,8.0,71.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,42,0,110,110,11483.5,0,0.0,0.0,0.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",72.13115,0.00173,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01004",0.0,634.0,828.0,366,"Bassin Résidentiel",101.93878,59.04139,248.45549,0.10621,367.8208,0.47115,"en croissance démographique","Ambérieu-en-Bugey","82","01",31,36,18,18,0.099228964,4,696.92134,0.53776,699.19896,0.41767,11432,512,4,4640,4635,1968,5184,135,414,11015,11350,10878,13624,8604,904,342.0,301.0,58.0,108.0,83.0,4.0,14.0,27.0,38.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com < 50 m habts",37.5,4556.0,4203.0,353.0,135.0,2.0,52.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,37,-55,250,250,11483.5,2,113.0,41.0,118.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",72.95082,0.38471,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Mobile","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Bonne Dynamique Entreprise Serv et Com",1
"01005",0.0,113.0,62.0,132,"Bassin Urbain",101.93878,59.04139,248.45549,0.10621,132.65668,0.15883,"en croissance démographique","Ambérieux-en-Dombes","82","01",12,12,6,6,1.0,1,85.774,0.06619,71.2761,0.04258,1407,39,2,473,473,344,505,14,18,1406,1324,1402,1758,968,97,22.0,26.0,17.0,10.0,6.0,0.0,4.0,2.0,0.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,621.0,535.0,86.0,14.0,2.0,17.0,1.0,72.0,"Grande Ville",0,68,-3,127,127,11483.5,2,5.0,2.0,7.0,9364,9350,3372,15105,173681,"Com rurale < 2 000 m habts en croissance démographique",72.13115,0.02824,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Mobile","Forte Synergie Médicale","Fiscalité moyenne","Moyenne dynamique","Faible Dynamique Serv et Com",1
"01006",0.0,42.0,1.0,121,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,121.60196,0.14415,"en croissance démographique","Ambléon","82","01",26,21,10,10,0.100905129,3,5.24276,0.00405,6.17827,0.00369,86,-8,-9,41,41,28,57,13,3,86,86,86,101,71,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,37.0,33.0,4.0,13.0,0.0,0.0,0.0,0.0,"3.Accroissement par excédent migratoire",0,49,0,109,109,11483.5,0,0.0,0.0,0.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",67.62295,0.0,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01007",0.0,138.0,77.0,159,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,159.791,0.19487,"en croissance démographique","Ambronay","82","01",31,36,18,18,0.099228964,4,130.70323,0.10085,120.25017,0.07183,2144,65,3,798,798,613,916,69,49,2144,2078,2096,2586,1588,173,33.0,27.0,17.0,24.0,14.0,1.0,2.0,1.0,10.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale > 2 000 habts",0.0,921.0,798.0,123.0,69.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,66,-7,137,137,11483.5,0,10.0,3.0,12.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",72.54098,0.03314,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Faible Dynamique Serv et Com",1
"01008",0.0,80.0,22.0,145,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,145.72136,0.17618,"en croissance démographique","Ambutrix","82","01",31,36,18,18,0.099228964,4,35.72392,0.02757,33.00099,0.01971,586,30,5,219,219,160,245,16,10,586,550,592,713,429,47,6.0,11.0,11.0,6.0,2.0,0.0,0.0,0.0,2.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,274.0,255.0,19.0,16.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,65,-3,116,116,11483.5,0,0.0,1.0,0.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",73.36066,0.00346,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01009",0.0,59.0,9.0,121,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,121.60196,0.14415,"en croissance démographique","Andert-et-Condon","82","01",26,21,10,10,0.100905129,3,16.76464,0.01294,17.47997,0.01044,275,-4,-1,116,116,101,140,20,4,275,278,264,325,217,10,3.0,4.0,2.0,7.0,2.0,1.0,0.0,0.0,1.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,114.0,89.0,25.0,20.0,0.0,0.0,0.0,0.0,"3.Accroissement par excédent migratoire",0,72,0,111,111,11483.5,0,0.0,0.0,0.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",70.90164,0.00346,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01010",0.0,66.0,16.0,96,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,96.47759,0.11078,"en croissance démographique","Anglefort","82","01",3,9,2,2,0.08749581,2,47.06292,0.03631,45.80959,0.02736,772,17,2,304,304,224,422,82,36,769,728,774,908,594,60,8.0,5.0,7.0,3.0,4.0,0.0,1.0,0.0,3.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,299.0,271.0,28.0,82.0,1.0,15.0,0.0,0.0,"3.Accroissement par excédent migratoire",0,53,-1,117,117,11483.5,0,3.0,1.0,3.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",72.13115,0.00692,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01011",0.0,53.0,8.0,119,"Bassin Urbain",101.93878,59.04139,0.0,0.0,119.59201,0.14148,"en croissance démographique","Apremont","82","01",12,12,6,6,1.0,1,19.99564,0.01543,18.23342,0.01089,328,22,6,121,121,85,152,23,8,329,308,330,394,244,25,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,162.0,137.0,25.0,23.0,0.0,0.0,0.0,0.0,"Grande Ville",0,55,-2,113,113,11483.5,0,0.0,0.0,0.0,9364,9350,3372,15105,173681,"Com rurale < 2 000 m habts en croissance démographique",73.77049,0.00519,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
